scope	row_status	kind	source_path	target_path	result	note
design	not in current numbered canon	root-module	/data/data/com.termux/files/home/02.ERP-system/.evidence-harvest	manual_classification_required	row_skipped	unsupported ledger status
design	not in current numbered canon	root-module	/data/data/com.termux/files/home/02.ERP-system/000.platform	manual_classification_required	row_skipped	unsupported ledger status
design	not in current numbered canon	root-module	/data/data/com.termux/files/home/02.ERP-system/001.core-principles	manual_classification_required	row_skipped	unsupported ledger status
design	not in current numbered canon	root-module	/data/data/com.termux/files/home/02.ERP-system/002.interface-and-contract	manual_classification_required	row_skipped	unsupported ledger status
design	not in current numbered canon	root-module	/data/data/com.termux/files/home/02.ERP-system/003.control-and-workflow	manual_classification_required	row_skipped	unsupported ledger status
design	not in current numbered canon	root-module	/data/data/com.termux/files/home/02.ERP-system/004.mapping-and-normalization	manual_classification_required	row_skipped	unsupported ledger status
design	not in current numbered canon	root-module	/data/data/com.termux/files/home/02.ERP-system/100.business	manual_classification_required	row_skipped	unsupported ledger status
design	not in current numbered canon	root-module	/data/data/com.termux/files/home/02.ERP-system/200.management	manual_classification_required	row_skipped	unsupported ledger status
design	not in current numbered canon	root-module	/data/data/com.termux/files/home/02.ERP-system/300.analytics	manual_classification_required	row_skipped	unsupported ledger status
design	not in current numbered canon	root-module	/data/data/com.termux/files/home/02.ERP-system/300.audit	manual_classification_required	row_skipped	unsupported ledger status
design	not in current numbered canon	root-module	/data/data/com.termux/files/home/02.ERP-system/400.analytics	manual_classification_required	row_skipped	unsupported ledger status
design	not in current numbered canon	root-module	/data/data/com.termux/files/home/02.ERP-system/900.meta	manual_classification_required	row_skipped	unsupported ledger status
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/ERP_SYSTEM_FOLDER_STRUCTURE_CANONICAL.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/ERP_SYSTEM_FOLDER_STRUCTURE_CANONICAL.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/DESIGN_DOCUMENT_RULES_CANONICAL.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/DESIGN_DOCUMENT_RULES_CANONICAL.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/ERP_SYSTEM_MASTER_INDEX.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/ERP_SYSTEM_MASTER_INDEX.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/DESIGN_MASTER_INDEX.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/DESIGN_MASTER_INDEX.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/ERP_DESIGN_BIBLE_FULL.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/ERP_DESIGN_BIBLE_FULL.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/000_COMMON_DESIGN_INDEX.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/000_COMMON_DESIGN_INDEX.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/000_COMMON_DESIGN_OVERVIEW.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/000_COMMON_DESIGN_OVERVIEW.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/001_COMMON_DESIGN_SET_INTEGRATION_NOTE.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/001_COMMON_DESIGN_SET_INTEGRATION_NOTE.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/002_COMMON_DESIGN_SET_NAVIGATION_RULE.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/002_COMMON_DESIGN_SET_NAVIGATION_RULE.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/124_ERP_DEEP_REVIEW_SET_INDEX.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/124_ERP_DEEP_REVIEW_SET_INDEX.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/125_ERP_DEEP_REVIEW_SET_OVERVIEW.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/125_ERP_DEEP_REVIEW_SET_OVERVIEW.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/126_ERP_RECONCILIATION_ROADMAP.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/126_ERP_RECONCILIATION_ROADMAP.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/127_ERP_RECONCILIATION_CURRENT_STATE.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/127_ERP_RECONCILIATION_CURRENT_STATE.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/128_ERP_RECONCILIATION_NEXT_ACTIONS.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/128_ERP_RECONCILIATION_NEXT_ACTIONS.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/129_ERP_RECONCILIATION_DECISION_LOG_SUMMARY.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/129_ERP_RECONCILIATION_DECISION_LOG_SUMMARY.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/130_DESIGN_MASTER_INDEX_RECONCILIATION_PATCH.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/130_DESIGN_MASTER_INDEX_RECONCILIATION_PATCH.md	file_copied	copied root loose file to triage
design	root-file	file	/data/data/com.termux/files/home/02.ERP-system/131_ERP_SYSTEM_MASTER_INDEX_RECONCILIATION_PATCH.md	/data/data/com.termux/files/home/02.ERP-system/90.transition-triage/00.root-files/131_ERP_SYSTEM_MASTER_INDEX_RECONCILIATION_PATCH.md	file_copied	copied root loose file to triage
